src_ip,dst_ip,src_port,dst_port,protocol,fwd_packets,bwd_packets,fwd_bytes,bwd_bytes,avg_pkt_size,pkt_size_entropy,duration,pkt_rate,byte_rate,syn_count,fin_count,rst_count,ack_count,label
205.188.12.91,10.8.8.178,443,48911,TCP,0,498,0,93840,188.43373493975903,2.3193607067308664,1025.068267,0.4858213018899354,91.54512242841678,0,0,0,498,VPN
10.8.8.178,205.188.12.91,48911,443,TCP,509,0,46001,0,90.37524557956776,1.8443138841658997,1025.068175,0.4965523390675942,44.876039586342635,0,0,0,509,VPN
134.170.25.26,10.8.8.178,443,54269,TCP,0,9,0,689,76.55555555555556,0.7642045065086203,960.134528,0.0093736864340743,0.717607772564138,0,0,0,9,VPN
10.8.8.178,134.170.25.26,54269,443,TCP,11,0,1594,0,144.9090909090909,1.3092966682370035,960.134505,0.0114567281383143,1.6601840593157309,0,0,0,11,VPN
157.56.52.13,10.8.8.178,40011,56909,TCP,0,34,0,2187,64.32352941176471,1.900342040961182,981.809227,0.0346299454771777,2.227520316429049,0,0,0,34,VPN
10.8.8.178,157.56.52.13,56909,40011,TCP,35,0,2667,0,76.2,1.7233767921376648,981.538102,0.0356583202717075,2.717164004704119,0,0,0,35,VPN
10.8.8.178,157.55.235.153,0,0,OTHER,1,0,62,0,62.0,-0.0,0.0,0.0,0.0,0,0,0,0,VPN
157.55.235.153,10.8.8.178,0,0,OTHER,0,1,0,510,510.0,-0.0,0.0,0.0,0.0,0,0,0,0,VPN
10.8.8.178,157.55.130.172,0,0,OTHER,2,0,326,0,163.0,-0.0,604.878896,0.0033064469817442,0.5389508580243143,0,0,0,0,VPN
157.55.130.172,10.8.8.178,0,0,OTHER,0,2,0,98,49.0,-0.0,604.879514,0.0033064436035768,0.1620157365752677,0,0,0,0,VPN
10.8.8.178,157.56.53.46,38688,12350,TCP,4,0,218,0,54.5,1.0,540.542624,0.0073999714775499,0.4032984455264715,0,0,0,4,VPN
157.56.53.46,10.8.8.178,12350,38688,TCP,0,2,0,114,57.0,-0.0,540.264831,0.0037018881949026,0.2110076271094536,0,0,0,2,VPN
10.8.8.178,198.7.63.141,0,0,OTHER,2,0,128,0,64.0,-0.0,0.000116,17241.37931034483,1103448.2758620689,0,0,0,0,VPN
10.8.8.178,78.46.223.24,0,0,OTHER,1,0,64,0,64.0,-0.0,0.0,0.0,0.0,0,0,0,0,VPN
198.7.63.141,10.8.8.178,0,0,OTHER,0,2,0,591,295.5,1.0,0.000116,17241.37931034483,5094827.586206897,0,0,0,0,VPN
78.46.223.24,10.8.8.178,0,0,OTHER,0,1,0,437,437.0,-0.0,0.0,0.0,0.0,0,0,0,0,VPN
10.8.8.178,137.117.177.33,40023,443,TCP,11,0,1266,0,115.0909090909091,2.40400975732486,0.774597,14.200932872190313,1634.3982741993577,1,1,0,10,VPN
137.117.177.33,10.8.8.178,443,40023,TCP,0,8,0,3980,497.5,2.5,0.773472,10.342972984154564,5145.629059616896,1,1,0,8,VPN
64.12.27.65,10.8.8.178,443,34579,TCP,0,4,0,160,40.0,-0.0,618.484333,0.0064674233227505,0.2586969329100208,0,0,1,4,VPN
10.8.8.178,64.12.27.65,34579,443,TCP,3,0,120,0,40.0,-0.0,600.409062,0.0049965934724682,0.199863738898731,0,0,0,3,VPN
64.12.104.73,10.8.8.178,443,49838,TCP,0,3,0,120,40.0,-0.0,600.407079,0.0049966099750133,0.1998643990005321,0,0,0,3,VPN
10.8.8.178,64.12.104.73,49838,443,TCP,3,0,120,0,40.0,-0.0,600.407086,0.004996609916759,0.1998643966703617,0,0,0,3,VPN
10.8.8.178,111.221.74.41,0,0,OTHER,1,0,62,0,62.0,-0.0,0.0,0.0,0.0,0,0,0,0,VPN
10.8.8.178,157.55.56.153,0,0,OTHER,1,0,63,0,63.0,-0.0,0.0,0.0,0.0,0,0,0,0,VPN
10.8.8.178,157.55.235.142,0,0,OTHER,1,0,69,0,69.0,-0.0,0.0,0.0,0.0,0,0,0,0,VPN
157.55.235.142,10.8.8.178,0,0,OTHER,0,1,0,48,48.0,-0.0,0.0,0.0,0.0,0,0,0,0,VPN
157.55.56.153,10.8.8.178,0,0,OTHER,0,1,0,471,471.0,-0.0,0.0,0.0,0.0,0,0,0,0,VPN
10.8.8.178,64.4.23.162,0,0,OTHER,2,0,334,0,167.0,-0.0,603.829903,0.003312191049273,0.5531359052285953,0,0,0,0,VPN
111.221.74.41,10.8.8.178,0,0,OTHER,0,1,0,48,48.0,-0.0,0.0,0.0,0.0,0,0,0,0,VPN
64.4.23.162,10.8.8.178,0,0,OTHER,0,2,0,98,49.0,-0.0,603.830946,0.00331218532811,0.1622970810773914,0,0,0,0,VPN
10.8.8.178,157.55.56.159,0,0,OTHER,1,0,62,0,62.0,-0.0,0.0,0.0,0.0,0,0,0,0,VPN
10.8.8.178,111.221.74.31,0,0,OTHER,1,0,62,0,62.0,-0.0,0.0,0.0,0.0,0,0,0,0,VPN
10.8.8.178,64.4.23.159,0,0,OTHER,1,0,62,0,62.0,-0.0,0.0,0.0,0.0,0,0,0,0,VPN
157.55.56.159,10.8.8.178,0,0,OTHER,0,1,0,899,899.0,-0.0,0.0,0.0,0.0,0,0,0,0,VPN
